,cocacola,logistic_water,logistic_soda,case
01R71076910,True,True,False,Case 1
01R71076912,True,False,True,Case 1
01R71076914,True,True,False,Case 1
01R71076916,True,False,True,Case 1
01R71076917,True,False,True,Case 1
01R71076922,True,False,True,Case 1
01R71076923,True,True,False,Case 1
01R71076924,True,False,False,Case 2
01R71076926,True,True,False,Case 1
01R71076927,True,False,True,Case 1
01R71076928,True,True,False,Case 1
01R71076929,True,False,True,Case 1
01R71076930,True,False,True,Case 1
01R71076931,True,False,True,Case 1
01R71076934,True,True,False,Case 1
01R71076936,True,True,False,Case 1
01R71076937,True,True,False,Case 1
01R71076940,True,False,True,Case 1
01R71076942,True,True,False,Case 1
01R71076944,True,True,False,Case 1
01R71076946,True,False,True,Case 1
01R71076947,True,True,False,Case 1
01R71076948,True,True,False,Case 1
01R71076951,True,False,True,Case 1
01R71076953,True,True,False,Case 1
01R71076967,True,False,True,Case 1
01R71076980,True,False,True,Case 1
01R71076981,True,True,False,Case 1
01R71076982,True,True,False,Case 1
01R71076984,True,True,False,Case 1
01R71076986,True,True,False,Case 1
01R71076990,True,False,True,Case 1
01R71076991,True,True,False,Case 1
01R71076992,True,True,False,Case 1
01R71076994,True,False,True,Case 1
01R71076997,True,True,False,Case 1
01R71076998,True,False,True,Case 1
01R71076999,True,False,True,Case 1
01R71077000,True,True,False,Case 1
01R71077001,True,True,False,Case 1
01R71077002,True,True,False,Case 1
01R71077007,True,False,True,Case 1
01R71077008,True,False,True,Case 1
01R71077012,True,False,True,Case 1
01R71077013,True,True,False,Case 1
01R71077014,True,False,True,Case 1
01R71077015,True,True,False,Case 1
01R71077018,True,False,True,Case 1
01R71077019,True,True,False,Case 1
01R71077020,True,False,True,Case 1
01R71077021,True,False,True,Case 1
01R71077022,True,False,True,Case 1
01R71077024,True,False,True,Case 1
01R71077030,True,False,True,Case 1
01R71077031,True,False,True,Case 1
01R71077033,True,True,False,Case 1
01R71077035,True,True,False,Case 1
01R71077038,True,True,False,Case 1
01R71077041,True,True,False,Case 1
01R71077042,True,True,False,Case 1
01R71077044,True,True,False,Case 1
01R71077046,True,True,False,Case 1
01R71077047,True,True,False,Case 1
01R71077052,True,False,True,Case 1
01R71077053,True,False,True,Case 1
01R71077076,True,False,True,Case 1
01R71077077,True,True,False,Case 1
01R71077078,True,False,True,Case 1
01R71077079,True,True,False,Case 1
01R71077081,True,True,False,Case 1
01R71077082,True,True,False,Case 1
01R71077087,True,True,False,Case 1
01R71077093,True,True,False,Case 1
01R71077094,True,True,False,Case 1
01R71077096,True,True,False,Case 1
01R71077097,True,True,False,Case 1
01R71077098,True,False,True,Case 1
01R71077100,True,False,True,Case 1
01R71077102,True,False,True,Case 1
01R71077105,True,False,True,Case 1
01R71077106,True,True,False,Case 1
01R71077107,True,False,True,Case 1
01R71077108,True,True,False,Case 1
01R71077109,True,True,False,Case 1
01R71077110,True,True,False,Case 1
01R71077111,True,True,False,Case 1
01R71077112,True,True,False,Case 1
01R71077114,True,True,False,Case 1
01R71077115,True,False,True,Case 1
01R71077116,True,False,True,Case 1
01R71077117,True,True,False,Case 1
01R71077120,True,True,False,Case 1
01R71077121,True,False,True,Case 1
01R71077124,True,True,False,Case 1
01R71077125,True,True,False,Case 1
01R71077127,True,False,True,Case 1
01R71077128,True,True,False,Case 1
01R71077129,True,False,True,Case 1
01R71077131,True,False,True,Case 1
01R71077132,True,False,True,Case 1
01R71077136,True,False,True,Case 1
01R71077137,True,True,False,Case 1
01R71077138,True,False,True,Case 1
01R71077140,True,False,True,Case 1
01R71077141,True,True,False,Case 1
01R71077144,True,False,True,Case 1
01R71077146,True,False,True,Case 1
01R71077148,True,True,False,Case 1
01R71077149,True,False,True,Case 1
01R71077150,True,True,False,Case 1
01R71077170,True,True,False,Case 1
01R71077171,True,True,False,Case 1
01R71077172,True,True,False,Case 1
01R71077175,True,True,False,Case 1
01R71077177,True,True,False,Case 1
01R71077178,True,True,False,Case 1
01R71077179,True,True,False,Case 1
01R71077180,True,True,False,Case 1
01R71077184,True,True,False,Case 1
01R71077187,True,False,True,Case 1
01R71077188,True,True,False,Case 1
01R71077189,True,True,False,Case 1
01R71077190,True,False,True,Case 1
01R71077193,True,True,False,Case 1
01R71077196,True,False,True,Case 1
01R71077197,True,False,True,Case 1
01R71077198,True,True,False,Case 1
01R71077199,True,True,False,Case 1
01R71077201,True,True,False,Case 1
01R71077202,True,False,True,Case 1
01R71077203,True,True,False,Case 1
01R71077205,True,False,True,Case 1
01R71077206,True,True,False,Case 1
01R71077207,True,False,True,Case 1
01R71077209,True,True,False,Case 1
01R71077211,True,True,False,Case 1
01R71077212,True,True,False,Case 1
01R71077216,True,False,True,Case 1
01R71077217,True,False,True,Case 1
01R71077218,True,True,False,Case 1
01R71077220,True,True,False,Case 1
01R71077221,True,False,True,Case 1
01R71077227,True,False,True,Case 1
01R71077229,True,True,False,Case 1
01R71077230,True,False,True,Case 1
01R71077231,True,True,False,Case 1
01R71077233,True,False,True,Case 1
01R71077238,True,False,True,Case 1
01R71077241,True,True,False,Case 1
01R71077243,True,True,False,Case 1
01R71077244,True,False,True,Case 1
01R71077245,True,False,True,Case 1
01R71077246,True,True,False,Case 1
01R71077247,True,True,False,Case 1
01R71077248,True,True,False,Case 1
01R71077249,True,True,False,Case 1
01R71077251,True,True,False,Case 1
01R71077252,True,True,False,Case 1
01R71077253,True,True,False,Case 1
01R71077254,True,True,False,Case 1
01R71077255,True,True,False,Case 1
01R71077256,True,False,True,Case 1
01R71077258,True,True,False,Case 1
01R71077259,True,True,False,Case 1
01R71077260,True,True,False,Case 1
01R71077261,True,True,False,Case 1
01R71077262,True,True,False,Case 1
01R71077263,True,True,False,Case 1
01R71077264,True,True,False,Case 1
01R71077265,True,True,False,Case 1
01R71077266,True,True,False,Case 1
01R71077267,True,True,False,Case 1
01R71077268,True,True,False,Case 1
01R71077269,True,True,False,Case 1
01R71077270,True,True,False,Case 1
01R71077271,True,True,False,Case 1
01R71077304,True,False,True,Case 1
01R71077305,True,False,True,Case 1
01R71077307,True,False,True,Case 1
01R71077308,True,False,True,Case 1
01R71077314,True,True,False,Case 1
01R71077315,True,True,False,Case 1
01R71077317,True,True,False,Case 1
01R71077318,True,False,True,Case 1
01R71077320,True,True,False,Case 1
01R71077321,True,True,False,Case 1
01R71077322,True,True,False,Case 1
01R71077323,True,True,False,Case 1
01R71077324,True,True,False,Case 1
01R71077325,True,True,False,Case 1
01R71077326,True,False,True,Case 1
01R71077327,True,False,True,Case 1
01R71077328,True,False,True,Case 1
01R71077329,True,True,False,Case 1
01R71077330,True,True,False,Case 1
01R71077331,True,True,False,Case 1
01R71077355,True,False,True,Case 1
01R71077356,True,True,False,Case 1
01R71077358,True,True,False,Case 1
01R71077360,True,True,False,Case 1
01R71077361,True,False,True,Case 1
01R71077364,True,True,False,Case 1
01R71077367,True,True,False,Case 1
01R71077369,True,True,False,Case 1
01R71077372,True,True,False,Case 1
01R71077377,True,True,False,Case 1
01R71077381,True,True,False,Case 1
01R71077382,True,True,False,Case 1
01R71077383,True,True,False,Case 1
01R71077384,True,False,True,Case 1
01R71077385,True,True,False,Case 1
01R71077386,True,True,False,Case 1
01R71077389,True,False,True,Case 1
01R71077392,True,False,True,Case 1
01R71077398,True,False,True,Case 1
01R71077399,True,True,False,Case 1
01R71077403,True,True,False,Case 1
01R71077404,True,False,True,Case 1
01R71077405,True,True,False,Case 1
01R71077406,True,False,True,Case 1
01R71077407,True,False,True,Case 1
01R71077408,True,False,True,Case 1
01R71077411,True,True,False,Case 1
01R71077412,True,False,True,Case 1
01R71077414,True,True,False,Case 1
01R71077416,True,False,True,Case 1
01R71077417,True,False,True,Case 1
01R71077418,True,False,True,Case 1
01R71077422,True,False,True,Case 1
01R71077425,True,True,False,Case 1
01R71077427,True,True,False,Case 1
01R71077429,True,True,False,Case 1
01R71077432,True,True,False,Case 1
01R71077457,True,True,False,Case 1
01R71077459,True,True,False,Case 1
01R71077461,True,True,False,Case 1
01R71077462,True,True,False,Case 1
01R71077463,True,True,False,Case 1
01R71077464,True,True,False,Case 1
01R71077465,True,True,False,Case 1
01R71077466,True,True,False,Case 1
01R71077467,True,False,True,Case 1
01R71077472,True,False,True,Case 1
01R71077473,True,False,True,Case 1
01R71077475,True,True,False,Case 1
01R71077476,True,False,True,Case 1
01R71077478,True,True,False,Case 1
01R71077481,True,False,True,Case 1
01R71077485,True,False,False,Case 2
01R71077486,True,True,False,Case 1
01R71077487,True,True,False,Case 1
01R71077489,True,True,False,Case 1
01R71077490,True,True,False,Case 1
01R71077491,True,False,True,Case 1
01R71077492,True,True,False,Case 1
01R71077493,True,True,False,Case 1
01R71077494,True,False,True,Case 1
01R71077496,True,True,False,Case 1
01R71077497,True,False,True,Case 1
01R71077498,True,False,True,Case 1
01R71077499,True,False,True,Case 1
01R71077506,True,True,False,Case 1
01R71077507,True,True,False,Case 1
01R71077508,True,False,True,Case 1
01R71077509,True,False,True,Case 1
01R71077510,True,True,False,Case 1
01R71077512,True,True,False,Case 1
01R71077514,True,True,False,Case 1
01R71077515,True,True,False,Case 1
01R71077517,True,True,False,Case 1
01R71077519,True,True,False,Case 1
01R71077524,True,True,False,Case 1
01R71077525,True,True,False,Case 1
01R71077539,True,False,True,Case 1
01R71077544,True,False,True,Case 1
01R71077552,True,False,True,Case 1
01R71077560,True,True,False,Case 1
01R71077561,True,False,True,Case 1
01R71077562,True,False,True,Case 1
01R71077566,True,False,False,Case 2
01R71077567,True,True,False,Case 1
01R71077570,True,False,False,Case 2
01R71077572,True,True,False,Case 1
01R71077576,True,True,False,Case 1
01R71077577,True,True,False,Case 1
01R71077580,True,False,True,Case 1
01R71077584,True,False,True,Case 1
01R71077587,True,True,False,Case 1
01R71077588,True,True,False,Case 1
01R71077589,True,True,False,Case 1
01R71077592,True,True,False,Case 1
01R71077593,True,False,True,Case 1
01R71077594,True,False,True,Case 1
01R71077595,True,True,False,Case 1
01R71077597,True,True,False,Case 1
01R71077598,True,True,False,Case 1
01R71077600,True,True,False,Case 1
01R71077601,True,True,False,Case 1
01R71077602,True,True,False,Case 1
01R71077604,True,True,False,Case 1
01R71077606,True,True,False,Case 1
01R71077607,True,True,False,Case 1
01R71077609,True,False,True,Case 1
01R71077610,True,False,True,Case 1
01R71077611,True,False,True,Case 1
01R71077613,True,False,True,Case 1
01R71077615,True,False,True,Case 1
01R71077616,True,False,True,Case 1
01R71077617,True,False,True,Case 1
01R71077623,True,False,True,Case 1
01R71077624,True,True,False,Case 1
01R71077627,True,True,False,Case 1
01R71077628,True,False,True,Case 1
01R71077629,True,True,False,Case 1
01R71077632,True,False,True,Case 1
01R71077633,True,False,True,Case 1
01R71077636,True,True,False,Case 1
01R71077637,True,True,False,Case 1
01R71077639,True,True,False,Case 1
01R71077657,True,False,True,Case 1
01R71077658,True,False,True,Case 1
01R71077659,True,True,False,Case 1
01R71077660,True,True,False,Case 1
01R71077661,True,True,False,Case 1
01R71077662,True,True,False,Case 1
01R71077666,True,True,False,Case 1
01R71077667,True,False,True,Case 1
01R71077670,True,True,False,Case 1
01R71077672,True,False,True,Case 1
01R71077673,True,True,False,Case 1
01R71077677,True,True,False,Case 1
01R71077678,True,True,False,Case 1
01R71077679,True,True,False,Case 1
01R71077680,True,True,False,Case 1
01R71077681,True,False,True,Case 1
01R71077682,True,False,True,Case 1
01R71077683,True,True,False,Case 1
01R71077684,True,True,False,Case 1
01R71077685,True,False,True,Case 1
01R71077689,True,False,True,Case 1
01R71077691,True,False,True,Case 1
01R71077695,True,False,True,Case 1
01R71077696,True,True,False,Case 1
01R71077697,True,True,False,Case 1
01R71077698,True,True,False,Case 1
01R71077700,True,True,False,Case 1
01R71077702,True,False,True,Case 1
01R71077703,True,True,False,Case 1
01R71077704,True,True,False,Case 1
01R71077707,True,True,False,Case 1
01R71077708,True,True,False,Case 1
01R71077711,True,False,True,Case 1
01R71077712,True,False,True,Case 1
01R71077713,True,False,True,Case 1
01R71077717,True,False,True,Case 1
01R71077719,True,True,False,Case 1
01R71077721,True,True,False,Case 1
01R71077722,True,True,False,Case 1
01R71077740,True,False,True,Case 1
01R71077751,True,True,False,Case 1
01R71077753,True,True,False,Case 1
01R71077754,True,True,False,Case 1
01R71077755,True,False,False,Case 2
01R71077757,True,True,False,Case 1
01R71077760,True,False,True,Case 1
01R71077761,True,True,False,Case 1
01R71077762,True,True,False,Case 1
01R71077765,True,True,False,Case 1
01R71077768,True,False,True,Case 1
01R71077770,True,False,True,Case 1
01R71077774,True,True,False,Case 1
01R71077776,True,True,False,Case 1
01R71077777,True,False,True,Case 1
01R71077778,True,True,False,Case 1
01R71077780,True,True,False,Case 1
01R71077781,True,True,False,Case 1
01R71077782,True,False,True,Case 1
01R71077783,True,True,False,Case 1
01R71077784,True,False,True,Case 1
01R71077785,True,True,False,Case 1
01R71077787,True,True,False,Case 1
01R71077788,True,True,False,Case 1
01R71077789,True,True,False,Case 1
01R71077790,True,True,False,Case 1
01R71077791,True,True,False,Case 1
01R71077792,True,True,False,Case 1
01R71077793,True,False,True,Case 1
01R71077794,True,False,True,Case 1
01R71077797,True,True,False,Case 1
01R71077798,True,False,False,Case 2
01R71077799,True,True,False,Case 1
01R71077802,True,True,False,Case 1
01R71077803,True,True,False,Case 1
01R71077805,True,True,False,Case 1
01R71077806,True,True,False,Case 1
01R71077820,True,False,False,Case 2
01R71077823,True,True,False,Case 1
