fecha,remision,origen,desitno,placa,kilometros
13/10/2020,14R70236533,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
13/10/2020,14R70236564,14 - NIXAPA                        ,AB - RANSA                         ,C-119-471,14
13/10/2020,90R70017999,AB - RANSA                         ,14 - NIXAPA                        ,C-119-471,7
13/10/2020,93R70070376,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-471,57
14/10/2020,01R71101466,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-471,36
14/10/2020,06R70126001,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-471,62
14/10/2020,14R70236535,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-471,61
14/10/2020,14R70236597,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
14/10/2020,93R70070406,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-471,57
15/10/2020,01R71101534,01 - PLANTA SOYAPANGO              ,11 - CHALATENANGO                  ,C-119-471,52
15/10/2020,01R71101613,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-471,24
15/10/2020,08R70013450,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-471,21
15/10/2020,11R70058589,11 - CHALATENANGO                  ,14 - NIXAPA                        ,C-119-471,44
15/10/2020,14R70236586,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
15/10/2020,14R70236645,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-471,20
15/10/2020,14R70236688,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-471,19
15/10/2020,92R70010509,92 - OPERADOR LOGISTICO            ,01 - PLANTA SOYAPANGO              ,C-119-471,18
16/10/2020,01R71101661,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-471,36
16/10/2020,01R71101716,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-471,24
16/10/2020,14R70236721,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
16/10/2020,14R70236766,14 - NIXAPA                        ,TB - TLA,C-119-471,5
16/10/2020,90R70018007,TB - TLA,14 - NIXAPA                        ,C-119-471,9.5
16/10/2020,90R70018013,TB - TLA,01 - PLANTA SOYAPANGO              ,C-119-471,20
16/10/2020,93R70070425,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-471,57
17/10/2020,01R71101771,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-471,24
17/10/2020,01R71101859,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-471,24
17/10/2020,08R70013461,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-471,21
17/10/2020,14R70236715,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-471,20
17/10/2020,14R70236779,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
17/10/2020,14R70236793,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-471,19
17/10/2020,92R70010520,92 - OPERADOR LOGISTICO            ,94 - C.D. SAN LUIS TALPA           ,C-119-471,51
17/10/2020,94R70056629,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-471,59
18/10/2020,01R71101892,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-471,24
18/10/2020,14R70236643,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-471,29
12/10/2020,08R70013431,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-477,21
12/10/2020,14R70236514,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-477,19
12/10/2020,92R70010486,92 - OPERADOR LOGISTICO            ,08 - PASATIEMPO                    ,C-119-477,31
12/10/2020,93R70070325,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-477,57
13/10/2020,01R71101382,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-477,24
13/10/2020,01R71101413,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-477,24
13/10/2020,06R70125977,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-477,62
13/10/2020,14R70236486,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-477,61
13/10/2020,14R70236538,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-477,61
13/10/2020,14R70236549,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-477,29
13/10/2020,14R70236555,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-477,29
14/10/2020,04R70265977,04 - SANTA ANA                     ,14 - NIXAPA                        ,C-119-477,55
14/10/2020,06R70125989,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-477,62
14/10/2020,06R70125993,06 - SONSONATE                     ,14 - NIXAPA                        ,C-119-477,62
14/10/2020,14R70236536,14 - NIXAPA                        ,06 - SONSONATE                     ,C-119-477,61
14/10/2020,14R70236578,14 - NIXAPA                        ,04 - SANTA ANA                     ,C-119-477,54
14/10/2020,14R70236620,14 - NIXAPA                        ,AW - WALLMART                      ,C-119-477,12
14/10/2020,14R70236671,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-477,29
14/10/2020,90R70018002,AW - WALLMART                      ,14 - NIXAPA                        ,C-119-477,8
15/10/2020,01R71101507,01 - PLANTA SOYAPANGO              ,31 - DISTR. AGUA Y JUGO            ,C-119-477,4
15/10/2020,14R70236592,14 - NIXAPA                        ,94 - C.D. SAN LUIS TALPA           ,C-119-477,59
15/10/2020,14R70236655,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-477,29
15/10/2020,31R70374389,31 - DISTR. AGUA Y JUGO            ,14 - NIXAPA                        ,C-119-477,20
15/10/2020,94R70056612,94 - C.D. SAN LUIS TALPA           ,14 - NIXAPA                        ,C-119-477,59
16/10/2020,01R71101656,01 - PLANTA SOYAPANGO              ,07 - USULUTAN                      ,C-119-477,117
16/10/2020,07R70079226,07 - USULUTAN                      ,14 - NIXAPA                        ,C-119-477,135
16/10/2020,14R70236727,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-477,29
16/10/2020,14R70236769,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-477,19
16/10/2020,92R70010515,92 - OPERADOR LOGISTICO            ,14 - NIXAPA                        ,C-119-477,10
17/10/2020,01R71101760,01 - PLANTA SOYAPANGO              ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-477,36
17/10/2020,05R70247714,05 - SAN MIGUEL                    ,14 - NIXAPA                        ,C-119-477,138
17/10/2020,08R70013463,08 - PASATIEMPO                    ,14 - NIXAPA                        ,C-119-477,21
17/10/2020,14R70236749,14 - NIXAPA                        ,08 - PASATIEMPO                    ,C-119-477,20
17/10/2020,14R70236798,14 - NIXAPA                        ,92 - OPERADOR LOGISTICO            ,C-119-477,19
17/10/2020,92R70010523,92 - OPERADOR LOGISTICO            ,05 - SAN MIGUEL                    ,C-119-477,138
17/10/2020,93R70070435,93 - C.DE VENTAS SAN RAFAEL CEDROS ,14 - NIXAPA                        ,C-119-477,57
18/10/2020,01R71101900,01 - PLANTA SOYAPANGO              ,14 - NIXAPA                        ,C-119-477,24
18/10/2020,14R70236762,14 - NIXAPA                        ,01 - PLANTA SOYAPANGO              ,C-119-477,29
13/10/2020,01R71101445,01 - PLANTA SOYAPANGO              ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,5.5
13/10/2020,06R70125978,06 - SONSONATE                     ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,81
13/10/2020,29R70201198,29 - PLANTA JUGO SAN SALV.         ,01 - PLANTA SOYAPANGO              ,C-119-489,4
14/10/2020,01R71101475,01 - PLANTA SOYAPANGO              ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,5.5
14/10/2020,29R70201237,29 - PLANTA JUGO SAN SALV.         ,01 - PLANTA SOYAPANGO              ,C-119-489,4
15/10/2020,01R71101590,01 - PLANTA SOYAPANGO              ,TA - Taller Arianita,C-119-489,32
15/10/2020,05R70247607,05 - SAN MIGUEL                    ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,124
15/10/2020,29R70201311,29 - PLANTA JUGO SAN SALV.         ,01 - PLANTA SOYAPANGO              ,C-119-489,4
15/10/2020,29R70201340,29 - PLANTA JUGO SAN SALV.         ,05 - SAN MIGUEL                    ,C-119-489,124
16/10/2020,29R70201324,29 - PLANTA JUGO SAN SALV.         ,94 - C.D. SAN LUIS TALPA           ,C-119-489,37
16/10/2020,91R70003399,TA - Taller Arianita,29 - PLANTA JUGO SAN SALV.         ,C-119-489,32
16/10/2020,94R70056615,94 - C.D. SAN LUIS TALPA           ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,37
17/10/2020,01R71101846,01 - PLANTA SOYAPANGO              ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,5.5
17/10/2020,29R70201391,29 - PLANTA JUGO SAN SALV.         ,01 - PLANTA SOYAPANGO              ,C-119-489,4
17/10/2020,29R70201393,29 - PLANTA JUGO SAN SALV.         ,01 - PLANTA SOYAPANGO              ,C-119-489,4
17/10/2020,29R70201422,29 - PLANTA JUGO SAN SALV.         ,94 - C.D. SAN LUIS TALPA           ,C-119-489,37
17/10/2020,94R70056627,94 - C.D. SAN LUIS TALPA           ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,37
18/10/2020,01R71101872,01 - PLANTA SOYAPANGO              ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,5.5
18/10/2020,01R71101884,01 - PLANTA SOYAPANGO              ,29 - PLANTA JUGO SAN SALV.         ,C-119-489,5.5
18/10/2020,29R70201479,29 - PLANTA JUGO SAN SALV.         ,93 - C.DE VENTAS SAN RAFAEL CEDROS ,C-119-489,40
